Wall time,Step,Value
1654213941.8151095,19,-70.96732330322266
1654214349.8346667,39,-35.36286926269531
1654214758.2300172,59,-40.06005096435547
1654215166.8924406,79,-25.985794067382812
1654215575.5638518,99,-22.555233001708984
1654215984.254691,119,-25.03354835510254
1654216392.563286,139,-23.96634864807129
1654216800.7890315,159,-29.326669692993164
1654217208.9462106,179,-33.37468719482422
1654217617.2667785,199,-27.366119384765625
1654218025.9598563,219,-28.621912002563477
1654218434.739609,239,-30.276391983032227
1654218843.5764525,259,-25.167499542236328
1654219252.2444642,279,-24.392520904541016
1654219661.1353734,299,-31.45745849609375
1654220069.8571246,319,-33.134700775146484
1654220478.4859724,339,-27.01788330078125
1654220887.1587665,359,-35.3125
1654221295.6182406,379,-33.25769805908203
1654221704.2193348,399,-31.463459014892578
1654222112.9121935,419,-37.90716552734375
1654222521.64878,439,-30.609893798828125
1654222930.2100406,459,-33.030296325683594
1654223338.8775382,479,-32.65258026123047
1654223747.4811292,499,-34.12591552734375
1654224155.8207743,519,-31.5163631439209
1654224564.2974124,539,-32.55077362060547
1654224973.064495,559,-29.61551284790039
1654225382.4435222,579,-38.257667541503906
1654225792.295065,599,-29.701427459716797
1654226202.620614,619,-37.66061019897461
1654226612.9447227,639,-37.50474166870117
1654227023.5498576,659,-27.55574607849121
1654227434.2770677,679,-37.50864791870117
1654227844.7709877,699,-39.122310638427734
1654228255.4578393,719,-34.335121154785156
1654228666.3477652,739,-37.528717041015625
1654229077.5253181,759,-35.094078063964844
1654229489.029961,779,-30.77752113342285
1654229900.5076654,799,-39.321815490722656
1654230312.0397596,819,-41.44963073730469
1654230723.75673,839,-36.678131103515625
1654231135.6685746,859,-36.92010498046875
1654231547.7924795,879,-37.311256408691406
1654231959.9958284,899,-43.24510192871094
1654232372.487726,919,-39.01567840576172
1654232785.3658454,939,-39.370296478271484
1654233198.832999,959,-38.049591064453125
1654233612.286975,979,-38.04033279418945
1654234025.7756276,999,-41.789947509765625
1654234439.2979038,1019,-39.237022399902344
1654234852.8083608,1039,-36.1025390625
1654235265.8974729,1059,-45.326622009277344
1654235678.164238,1079,-40.11604690551758
1654236090.8632274,1099,-31.697696685791016
1654236504.478001,1119,-46.41334915161133
1654236917.9732864,1139,-38.61486053466797
1654237331.352399,1159,-46.39038848876953
1654237744.4608922,1179,-37.732444763183594
1654238157.1708844,1199,-43.9613151550293
1654238569.028749,1219,-37.05294418334961
1654238980.523579,1239,-40.414859771728516
1654239393.4281147,1259,-42.857872009277344
1654239806.25438,1279,-40.861907958984375
1654240219.5587022,1299,-40.59552764892578
1654240632.0882633,1319,-37.625709533691406
1654241045.2492464,1339,-34.466880798339844
1654241458.4187818,1359,-36.991798400878906
1654241871.36445,1379,-36.951759338378906
1654242284.3599591,1399,-42.1407470703125
1654242697.4179265,1419,-41.29530715942383
1654243110.6878848,1439,-37.621177673339844
1654243524.1399434,1459,-38.99900817871094
1654243938.1024733,1479,-45.951969146728516
1654244352.4627602,1499,-35.881099700927734
1654244766.7790027,1519,-42.956138610839844
1654245180.527324,1539,-35.4325065612793
1654245594.1718893,1559,-37.80242919921875
1654246007.6265588,1579,-37.74245071411133
1654246421.1713302,1599,-36.03056335449219
1654246834.5484855,1619,-40.025760650634766
1654247247.993092,1639,-38.06348419189453
1654247662.1734185,1659,-35.13947677612305
1654248078.1295872,1679,-43.26568603515625
1654248491.7049327,1699,-46.769569396972656
1654248905.4024866,1719,-40.50605010986328
1654249318.9020321,1739,-37.639583587646484
1654249732.8067207,1759,-39.321285247802734
1654250146.1131089,1779,-38.5070686340332
1654250559.3224194,1799,-41.004173278808594
1654250971.709482,1819,-47.42405319213867
1654251384.4187849,1839,-43.23466491699219
1654251797.2043676,1859,-43.282386779785156
1654252210.293034,1879,-40.66868591308594
1654252623.1345847,1899,-41.03357696533203
1654253036.1140604,1919,-44.11616516113281
1654253448.4881804,1939,-43.86540603637695
1654253860.8452535,1959,-36.69561004638672
1654254273.1779294,1979,-48.71397018432617
1654254685.447557,1999,-41.525142669677734
